"Integration configuration file","Integration configuration file"
"Integrations API Configuration","Integrations API Configuration"
"Integrations API configuration file","Integrations API configuration file"
"We couldn't find any records.","Мы не смогли найти никаких записей."
Status,Статус
"Filterable (with results)","Фильтруемый (с результатами)"
"Filterable (no results)","Фильтруемый (без результатов)"
No,Нет
"Use in Layered Navigation","Использовать в многоуровневой навигации"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Может быть использовано только с типом ввода выпадающий список, множественный выбор и цена"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Может быть использовано только с типом ввода выпадающий список, множественный выбор и цена"
"Use in Search Results Layered Navigation","Использовать в результатах поиска (в многоуровневой навигации)"
Position,Позиция
"Position in Layered Navigation","Позиция в многоуровневой навигации"
"Position of attribute in layered navigation block.","Позиция атрибута в многоуровневой навигации."
item,Позиция
items,Позиции
"Now Shopping by","Выбранные параметры"
Previous,Предыдущий
Remove,Удалить
"Remove This Item","Удалить позицию"
"Shop By",Фильтр
"Clear All","Очистить все"
"Shopping Options","Доступные параметры"
"Layered Navigation","Многоуровневая навигация"
"Display Product Count","Отображать количество товара"
"Price Navigation Step Calculation","Цена. Шаг навигации. Вычисление"
"Default Price Navigation Step","Цена по умолчанию. Шаг навигации"
"Maximum Number of Price Intervals","Максимальное кол-во интервалов цены"
"Maximum number of price intervals is 100","Максимальное кол-во интервалов цены: 100"
"Display Price Interval as One Price","Отображать интервал цен как единую цену"
"This setting will be applied when all prices in the specific price interval are equal.","Этот параметр применяется в случае, когда в интервале все цены одинаковы."
"Interval Division Limit","Предел деления интервала"
"Please specify the number of products, that will not be divided into subintervals.","Укажите количество товаров, которое не будет дробиться на подинтервалы."
Partners,Партнёры
"Magento Marketplace","Магазин Magento"
"Platinum Partners","Платиновые партнёры"
"Representing Magento\'s highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Представляя высший уровень партнерского взаимодействия Magento, Платиновые партнёры Magento зарекомендовали себя лидерами и новаторами ключевых продуктов и услуг, призванных помочь торговцам и брендам развивать свой бизнес. Magento резервирует Платиновый уровень для особо доверенных партнёров, которые готовы предложить интеграцию любых функций и инструментов, чтобы расширить и увеличить мощность платформы электронной коммерции Magento."
"Featured Platinum Partners","Рекомендуемые платиновые партнёры"
"Partner search","Поиск партнёра"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento развивает процветающую экосистему технологических партнёров, чтобы помочь торговцам и брендам доставить клиентам лучшие впечатления. Партнёры признаны в качестве экспертов электронной коммерции, поиска, электронного маркетинга, платежей, налогов, защиты от мошенничества, оптимизации и аналитики, и многих других областях. Посетите каталог партнёров Magento, в котором представлены все наши доверенные партнёры."
"More Partners","Больше партнёров"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Расширения и темы являются неотъемлемой составляющей частью экосистемы Magento. Пожалуйста, посетите магазин Magento, чтобы увидеть самые последние инновации, которые разработчики создали для совершенствования вашего сайта на платформе Magento."
"Visit Magento Marketplaces","Посетить магазин Magento"
"Read More",Подробнее
"Partner Page","Страница партнёра"
"No partners were found","Партнёры не найдены"
Synchronize,Синхронизировать
"Synchronizing %1 to %2","Synchronizing %1 to %2"
Synchronizing...,Синхронизация...
"The timeout limit for response from synchronize process was reached.","The timeout limit for response from synchronize process was reached."
"File %1 does not exist","Файл %1 не существует"
"File %1 is not readable","Файл %1 не доступен для чтения"
"File System","Файловая система"
Database,"База данных"
"database ""%1""","база данных ""%1"""
"Parent directory does not exist: %1","Родительская папка не существует: %1"
"File system","Файловая система"
"Unable to save file ""%1"" at ""%2""","Unable to save file ""%1"" at ""%2"""
"Wrong file info format","Неверный информационный формат файла"
"Path ""%value%"" is protected and cannot be used.","Путь ""%value%"" защищён и не может быть использован."
"Path ""%value%"" is not available and cannot be used.","Путь ""%value%"" недоступен и не может быть использован."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\)."""
"Please set available and/or protected paths list(s) before validation.","Пожалуйста, укажите список доступных и/или защищённых путей перед проверкой."
"File with an extension ""%value%"" is protected and cannot be uploaded","Файл с расширением ""%value%"" защищён и не может быть закачан"
"Unable to create directory: %1","Невозможно создать папку: %1"
"Unable to save file: %1","Невозможно создать файл: %1"
"Storage Configuration for Media","Настройка хранилища для медиа"
"Media Storage","Медиа хранилище"
"Select Media Database","Выберите медиа базу данных"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Время обновления сервера"
"To see product price, add this item to your cart. You can always remove it later.","Чтобы узнать цену, поместите товар в корзину. Вы в любой момент сможете удалить его из корзины."
"See price before order confirmation.","Просмотрите цены перед подтверждением заказа."
"On Gesture","По запросу"
"In Cart","В корзине"
"Before Order Confirmation","Перед подтверждением заказа"
"Use config","Использовать настройки конфигурации"
"Click for price","Узнать цену"
"What's this?","Что это?"
"Order total will be displayed before you submit the order","Order total will be displayed before you submit the order"
"You will see the order total before you submit the order.","You will see the order total before you submit the order."
Price,Цена
"Actual Price","Текущая цена"
"Add to Cart","Добавить в корзину"
"Minimum Advertised Price","Рекомендованная розничная цена"
"Enable MAP","Включить РРЦ (рекомендованные розничные цены)"
"Display Actual Price","Отображать текущую цену"
"Default Popup Text Message","Значение по умолчанию всплывающего текстового сообщения"
"Default ""What's This"" Text Message","Значение по умолчанию текстового сообщения ""Что это"""
"Change Billing Address","Изменить адрес плательщика"
"Ship to Multiple Addresses","Доставить заказ на несколько адресов"
"Billing Information - %1","Информация о плательщике - %1"
"Review Order - %1","Обзор заказа - %1"
Total,Итого
"Total for this address","Итого для этого адреса"
"Shipping Methods","Методы доставки"
"Edit Address","Изменить адрес"
"Edit Billing Address","Изменить адрес плательщика"
"Edit Shipping Address","Изменить адрес доставки"
"Create Billing Address","Создать адрес плательщика"
"Create Shipping Address","Создать адрес доставки"
"Data saving problem","Проблема сохранения данных"
"We cannot open the overview page.","We cannot open the overview page."
"Please agree to all Terms and Conditions before placing the order.","Перед оформлением заказа Вы должны принять все Условия и Соглашения."
"Order place error","Ошибка создания заказа"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximum qty allowed for Shipping to multiple addresses is %1"
"Please check shipping address information.","Пожалуйста, проверьте адрес доставки."
"Please check billing address information.","Пожалуйста, проверьте адрес плательщика."
"Please select shipping methods for all addresses.","Пожалуйста, веберите методы оплаты для всех адресов."
"A payment method is not defined.","Метод оплаты не определён."
"The requested payment method is not available for multishipping.","Запрошенный метод оплаты недоступен для доставки на несколько адресов."
"Item not found or already ordered","Товар не найден или уже заказан"
"Please specify a payment method.","Пожалуйста, укажите метод оплаты."
"Please check shipping addresses information.","Пожалуйста, проверьте адреса доставки."
"Please specify shipping methods for all addresses.","Пожалуйста, укажите метод доставки для всех адресов."
"Select Addresses","Выберите адреса"
"Shipping Information","Информация о доставке"
"Billing Information","Информация о плательщике"
"Place Order","Оформить заказ"
"Order Success","Заказ успешно оформлен"
"Default Billing","Метод оплаты по умолчанию"
"Default Shipping","Метод доставки по умолчанию"
"Select Address","Выберите адрес"
"Add New Address","Добавить новый адрес"
"Back to Billing Information","Вернуться к информации о плательщике"
"Please select a shipping address for applicable items.","Пожалуйста, выберите адрес доставки (получателя) для каждой позиции."
Product,Товар
Qty,Кол-во
"Send To",Получатель
"A shipping selection is not applicable.","A shipping selection is not applicable."
Actions,Действия
"Remove Item","Удалить позицию"
"Remove item","Удалить позицию"
"Go to Shipping Information","Перейти к информации о доставке"
"Update Qty &amp; Addresses","Обновить количество и адреса"
"Enter a New Address","Введите новый адрес"
"Back to Shopping Cart","Вернуться в корзину покупок"
"Billing Address","Адрес плательщика"
Change,Изменить
"Payment Method","Метод оплаты"
"Go to Review Your Order","Перейти к обзору вашего заказа"
"Back to Shipping Information","Вернуться к информации о доставке"
"Other items in your order","Другие товары в вашем заказе"
"Edit Items","Изменить товары"
"Shipping is not applicable.","Shipping is not applicable."
"Product Name","Название товара"
"Check Out with Multiple Addresses","Оформить заказ на несколько адресов"
"Address %1 <span>of %2</span>","Адрес %1 <span>из %2</span>"
"Shipping To",Получатель
"Shipping Method","Метод доставки"
"Incl. Tax","Включая налог"
"Excl. Tax","Без налога"
"Order Review","Подтверждение заказа"
Item,Позиция
Edit,Изменить
Price,Цена
Subtotal,Итого
Items,Позиции
"Grand Total:","Итоговая сумма:"
"Submitting order information...","Отправка информации о заказе..."
"Sorry, no quotes are available for this order right now.","Извините, в данный момент отсутствуют варианты выбора для этого заказа."
"Continue to Billing Information","Перейти к информации о плательщике"
"Back to Select Addresses","Вернуться к выбору адресов"
"Thank you for your purchase!","Спасибо за покупку!"
"Thanks for your order. We\'ll email you order details and tracking information.","Спасибо за заказ. Мы отправим вам электронное письмо с информацией о заказе."
"Your order numbers are: ","Номера ваших заказов: "
"Your order number is: ","Номер вашего заказа: "
"Continue Shopping","Вернуться к выбору товаров"
"We can\'t complete your order because you don\'t have a payment method set up.","Мы не можем завершить ваш заказ, так как вы не указали метод оплаты."
"Please choose a payment method.","Пожалуйста, выберите метод оплаты."
"Multishipping Settings Section","Multishipping Settings Section"
"Multishipping Settings","Multishipping Settings"
Options,Варианты
"Allow Shipping to Multiple Addresses","Разрешить доставку на несколько адресов"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Максимальное количество адресов"
"Review Order","Обзор заказа"
"Select Shipping Method","Выберите метод доставки"
"We received your order!","Мы получили ваш заказ!"
"Delete Selected Problems","Удалить выбранные проблемы"
"Unsubscribe Selected","Отменить подписку для выбранных"
Back,Вернуться
Reset,Сбросить
"Preview Template","Предварительный просмотр"
"Save Newsletter","Сохранить письмо"
"Save and Resume","Сохранить и возобновить"
"View Newsletter","Просмотр письма"
"Edit Newsletter","Изменить письмо"
"Queue Information","Информация очереди"
"Queue Date Start","Дата запуска очереди"
"Subscribers From","Форма подписки"
Subject,Тема
"Sender Name","Имя отправителя"
"Sender Email","Адрес отправителя (email)"
Message,сообщение
"Newsletter Styles","Стили рассылки"
Start,Пуск
Pause,Приостановить
"Do you really want to cancel the queue?","Вы действительно хотите отменить очередь?"
Cancel,Отменить
Resume,Возобновить
Preview,"Предварительный просмотр"
"Add New Template","Добавить новый шаблон"
"Newsletter Templates","Шаблоны рассылок"
"Convert to Plain Text","Преобразовать в текст"
"Return HTML Version","Вернуть HTML версию"
"Delete Template","Удалить шаблон"
"Save As","Сохранить как"
"Save Template","Сохранить шаблон"
"Edit Newsletter Template","Изменить шаблон письма"
"New Newsletter Template","Новый шаблон письма"
"Template Information","Информация о шаблоне"
"Template Name","Название шаблона"
"Template Subject","Тема шаблона"
"Template Content","Содержимое шаблона"
"Template Styles","Стили шаблона"
"No Templates Found","Шаблоны не найдены"
ID,ИД
Template,Шаблон
Added,Добавлено
Updated,Обновлено
Sender,Отправитель
"Template Type","Тип шаблона"
Action,Действие
"Queue Newsletter","Queue Newsletter"
"We unsubscribed the people you identified.","Мы отписали людей, которых вы указали."
"The problems you identified have been deleted.","Проблемы, которые вы указали, удалены."
"Newsletter Problems Report","Отчёт: проблемы с рассылкой"
"Newsletter Problem Reports","Отчёты проблем с письмами"
"Newsletter Queue","Очередь рассылки"
"Edit Queue","Редактировать очередь"
"Please correct the newsletter template and try again.","Пожалуйста, исправьте шаблон рассылки и попробуйте снова."
"You saved the newsletter queue.","Вы сохранили очередь рассылки."
"Newsletter Subscribers","Подписчики рассылки"
Newsletter,Рассылки
Subscribers,Подписчики
"Please select one or more subscribers.","Пожалуйста, выберите одного или нескольких подписчиков."
"Total of %1 record(s) were deleted.","Записей удалено: %1."
"A total of %1 record(s) were updated.","Обновлено записей: %1."
"The newsletter template has been deleted.","Шаблон рассылки удалён."
"We can\'t delete this template right now.","Мы не можем удалить этот шаблон в данный момент."
"Edit Template","Изменить шаблон"
"New Template","Новый шаблон"
"Create Newsletter Template","Создать шаблон письма"
"The newsletter template has been saved.","Шаблон рассылки сохранён."
"Something went wrong while saving this template.","Что-то пошло не так во время сохранения этого шаблона."
"Newsletter Subscription","Подписка на новости"
"Something went wrong while saving your subscription.","Что-то пошло не так во время сохранения вашей подписки."
"We saved the subscription.","Мы сохранили подписку."
"We removed the subscription.","Мы удалили подписку."
"Your subscription has been confirmed.","Ваша подписка подтверждена."
"This is an invalid subscription confirmation code.","Это неправильный код подтверждения подписки."
"This is an invalid subscription ID.","Это неправильный ИД подписки."
"This email address is already assigned to another user.","Этот адрес электронной почты уже используется другим пользователем."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Извините, но администратор запретил подписку для гостей. Пожалуйста, <a href=""%1"">зарегистрируйтесь</a>."
"Please enter a valid email address.","Введите правильный адрес электронной почты."
"The confirmation request has been sent.","Запрос подтверждения отправлен."
"Thank you for your subscription.","Спасибо за то что подписались на нашу рассылку."
"There was a problem with the subscription: %1","Проблема с подпиской: %1"
"Something went wrong with the subscription.","Что-то пошло не так с подпиской."
"You unsubscribed.","Вы отписались."
"Something went wrong while unsubscribing you.","Что-то пошло не так во время отмены вашей подписки."
Sent,Отправлено
Cancelled,Отменено
"Not Sent","Не отправлено"
Sending,Отправляется
Paused,Приостановлено
"There are no subscribers selected.","Нет выбранных подписчиков."
"You selected an invalid queue.","Вы выбрали недействительную очередь."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Дублировать код шаблона"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Перейдите по ссылке, чтобы отписаться <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Choose Store View:","Выберите витрину:"
"Newsletter Message Preview","Предпросмотр новостного письма"
"Add to Queue","Добавить в очередь"
"Are you sure that you want to strip all tags?","Вы действительно хотите убрать все тэги?"
"Please enter a new template name.","Пожалуйста, введите название нового шаблона."
" Copy"," Копировать"
"Are you sure you want to delete this template?","Вы действительно хотите удалить этот шаблон?"
"Sign Up for Our Newsletter:","Подписаться на нашу рассылку:"
"Enter your email address","Введите адрес электронной почты (email)"
Subscribe,Подписаться
"Thank you for subscribing to our newsletter.","Спасибо за подписку на нашу рассылку."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Чтобы начать получать рассылку, необходимо сначала подтвердить подписку, перейдя по ссылке:"
"You have been successfully subscribed to our newsletter.","Вы успешно подписались на нашу рассылку."
"You have been unsubscribed from the newsletter.","Вы отменили подписку на рассылку."
"Newsletter Template","Шаблоны рассылок"
"Newsletter Section","Новостная рассылка"
"Subscription Options","Параметры подписки"
"Allow Guest Subscription","Разрешить подписываться гостям"
"Need to Confirm","Необходимо подтверждение"
"Confirmation Email Sender","Письмо подтверждения. Отправитель"
"Confirmation Email Template","Письмо подтверждения. Шаблон"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Если выбрано значение по умолчанию, шаблон будет зависеть от используемой темы оформления."
"Success Email Sender","Отправитель письма об успешной подписке"
"Success Email Template","Шаблон письма об успешной подписке"
"Unsubscription Email Sender","Отправитель письма об отмене подписки"
"Unsubscription Email Template","Шаблон письма об отмене подписки"
"We found no problems.","Проблем не обнаружено."
Subscriber,Подписчик
"Queue Start Date","Дата запуска очереди"
"Queue Subject","Тема очереди"
"Error Code","Код ошибки"
"Error Text","Текст ошибки"
"Queue Start","Старт очереди"
"Queue End","Конец очереди"
Status,Статус
Processed,Обработано
Recipients,Получатели
Unsubscribe,Отказаться
Delete,Удалить
CSV,"CSV (разделитель - запятые)"
"Excel XML","Excel XML"
Email,"Электронная почта"
Type,Тип
Guest,Гость
Customer,Клиент
"Customer First Name","Имя клиента"
"Customer Last Name","Фамилия клиента"
"Not Activated","Не активировано"
Subscribed,Подписаны
Unsubscribed,"Отказавшиеся от подписки"
Unconfirmed,"Не подтверждено"
"Web Site",Сайт
Store,Магазин
"Store View","Представление магазина"
"Newsletter Subscriptions","Подписка на новости"
"Make Check payable to:","Чек выдан:"
"Send Check to:","Отправить чек к:"
"Purchase Order Number","Номер заявки"
"Make Check payable to: %1","Чек выдан: %1"
"Purchase Order Number: %1","Номер заказа: %1"
"Make Check payable to","Чек выдан"
"Send Check to","Отправить чек к"
"Place Order","Оформить заказ"
"Check / Money Order","Чек или Почтовый перевод"
Enabled,Включено
"New Order Status","Статус нового заказа"
"Sort Order","Порядок сортировки"
Title,Заголовок
"Payment from Applicable Countries","Оплата из доступных стран"
"Payment from Specific Countries","Оплата из выбранных стран"
"Make Check Payable to","Чек выдан"
"Minimum Order Total","Минимальная сумма заказа"
"Maximum Order Total","Максимальная сумма заказа"
"Purchase Order","Оплата заказа"
"Bank Transfer Payment","Банковский перевод"
Instructions,Инструкции
"Cash On Delivery Payment","Оплата при получении"
"Zero Subtotal Checkout","Оплата не требуется"
"Automatically Invoice All Items","Автоматически выписать счёт для всех товаров"
Country,Страна
Region/State,Регион
"Zip/Postal Code","Почтовый индекс"
"Shipping Price","Цена доставки"
"Export CSV","Экспорт CSV"
"Store Pickup",Самовывоз
"Weight vs. Destination","Вес vs Место назначения"
"Price vs. Destination","Цена vs Пункт назначения"
"# of Items vs. Destination","# товаров для назначения"
"Weight (and above)","Вес (и выше)"
"Order Subtotal (and above)","Предварительный итог заказа"
"# of Items (and above)","# товаров (и более)"
"Please correct Table Rate code type: %1.","Пожалуйста, исправьте тип кода таблицы тарифов: %1."
"Please correct Table Rate code for type %1: %2.","Пожалуйста, исправьте код таблицы тарифов для типа %1: %2."
None,Отсутствует
"Per Order","За заказ"
"Per Item","За единицу"
"Please correct Table Rates File Format.","Пожалуйста, исправьте формат файла таблицы тарифов."
"Something went wrong while importing table rates.","Что-то пошло не так во время импорта таблицы тарифов."
"We couldn\'t import this file because of these errors: %1","Мы не смогли импортировать файл из-за этих ошибок: %1"
"Please correct Table Rates format in the Row #%1.","Пожалуйста, исправьте формат таблицы тарифов в строке #%1."
"Please correct Country ""%1"" in the Row #%2.","Пожалуйста, исправьте страну ""%1"" в строке #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Пожалуйста, исправьте область ""%1"" в строке #%2."
"Please correct %1 ""%2"" in the Row #%3.","Пожалуйста, исправьте %1 ""%2"" в строке #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Пожалуйста, исправьте стоимость доставки ""%1"" в строке #%2."
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Повторяющаяся строка #%1 (Страна ""%2"", Регион ""%3"", Почтовый индекс ""%4"" и значение ""%5"")"
No,Нет
"For matching items only","Только для соответствующих товаров"
"For shipment with matching items","Для доставки с соответствующими товарами"
"Field ",Поле
" is required.",обязательно.
"Flat Rate","Фиксированная ставка"
Enabled,Включено
"Method Name","Название метода"
Price,Цена
"Calculate Handling Fee","Рассчитать стоимость обработки"
"Handling Fee","Плата за обработку"
"Sort Order","Порядок сортировки"
Title,Заголовок
Type,Тип
"Ship to Applicable Countries","Доставить в доступные страны"
"Ship to Specific Countries","Доставить в определённые страны"
"Show Method if Not Applicable","Показывать метод, если не доступен"
"Displayed Error Message","Отображаемое сообщение об ошибке"
"Table Rates","Таблица тарифов"
Condition,Условие
"Include Virtual Products in Price Calculation","Учитывать виртуальный товар в расчёте цены"
Export,Экспорт
Import,Импорт
"Free Shipping","Бесплатная доставка"
"Minimum Order Amount","Минимальная сумма заказа"
"-- Please Select --","-- Выберите --"
"Export VCL for Varnish %1","Export VCL for Varnish %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Значение ""%1"" в поле Время кэширования данных (TTL) неверное. Пожалуйста, используйте только числа больше нуля или 0."
"Built-in Cache","Встроенный кэш"
"Varnish Cache (Recommended)","Varnish Cache (Recommended)"
"Full Page Cache","Полностраничный кэш"
"Caching Application","Кэш приложение"
"Varnish Configuration","Кофигурация Varnish"
"Access list","Access list"
"IPs access list separated with \',\' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","IPs access list separated with \',\' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved."
"Backend host","Backend host"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Specify backend host for config file generation. If field is empty default value localhost will be saved."
"Backend port","Backend port"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Specify backend port for config file generation. If field is empty default value 8080 will be saved."
"TTL for public content","Время кэширования данных"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved. ","Время в секундах, на которое кэшируется публичное содержимое. Если поле пустое, то будет сохранено значение по умолчанию: 86400. "
"Page Cache","Кэш страниц"
"Full page caching","Full page caching"
"We cannot retrieve the payment method model object.","Мы не можем получить объект модели метода оплаты."
Month,Месяц
Year,Год
"We cannot retrieve the payment info model object.","Мы не можем получить объект модели информации о платеже."
N/A,Н/Д
"Credit Card Type","Тип кредитной карты"
"Credit Card Number","Номер кредитной карты"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro номер проблемы"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro дата начала"
"We cannot retrieve the transparent payment method model object.","Мы не можем получить прозрачный объект модели метода оплаты."
"Command Executor for %1 is not defined.","Command Executor for %1 is not defined."
"Command %1 does not exist.","Команда %1 не существует."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Wrong gateway response format.","Неправильный формат ответа шлюза."
"Validator for field %1 does not exist.","Валидатор для поля %1 не существует."
Discount,Скидка
Shipping,Доставка
"All Allowed Countries","Все разрешённые страны"
"Specific Countries","Определённые страны"
"The payment method you requested is not available.","Запрошенный вами метод оплаты недоступен."
"The payment disallows storing objects.","The payment disallows storing objects."
"We cannot retrieve the payment method code.","Мы не можем получить код метода оплаты."
"We cannot retrieve the payment information object instance.","Мы не можем получить экземпляр объекта информации о платеже."
"You can\'t use the payment type you selected to make payments to the billing country.","Вы не можете использовать выбранный тип платежа для оплаты в страну, указанную в адресе плательщика."
"The order action is not available.","The order action is not available."
"The authorize action is not available.","The authorize action is not available."
"The capture action is not available.","The capture action is not available."
"The refund action is not available.","The refund action is not available."
"The void action is not available.","The void action is not available."
"The payment review action is unavailable.","The payment review action is unavailable."
"The credit card number doesn\'t match the credit card type.","Номер кредитной карты не соответствует типу кредитной карты."
"Invalid Credit Card Number","Неправльный номер кредитной карты"
"This credit card type is not allowed for this payment method.","Этот тип кредитной карты не разрешён для данного метода оплаты."
"Please enter a valid credit card verification number.","Пожалуйста, введите правильный проверочный номер кредитной карты."
"Please enter a valid credit card expiration date.","Пожалуйста, введите корректную дату истечения срока действия кредитной карты."
"%1 class doesn\'t implement \Magento\Payment\Model\MethodInterface","Класс %1 не реализует \Magento\Payment\Model\MethodInterface"
Yes,Да
No,Нет
"Failure #1","Failure #1"
"Failure #2","Failure #2"
"Expiration Date","Дата окончания срока действия"
"Card Verification Number","Проверочный код карты"
"Switch/Solo/Maestro Only","Только Switch/Solo/Maestro"
"Issue Number","Номер проблемы"
"Start Date","Дата начала"
" is not available. You still can process offline actions."," is not available. You still can process offline actions."
"Please Select",Выберите
"We\'ll ask for your payment details before you place an order.","Мы запросим у вас параметры платежа до завершения заказа."
"--Please Select--",--Выберите--
"Card Verification Number Visual Reference","Визуальный пример проверочного кода карты"
"What is this?","Что это?"
"Credit Card Information","Кредитная карта. Информация"
"Place Order","Оформить заказ"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Изменить корзину"
"Payment Methods Section","Методы оплаты"
"Payment Services","Payment Services"
"Payment Methods","Методы оплаты"
"Billing Agreements",Соглашения
ID,ИД
Email,"Электронная почта"
"First Name",Имя
"Last Name",Фамилия
"Reference ID","Reference ID"
Status,Статус
Created,Создано
N/A,Н/Д
Updated,Обновлено
Back,Вернуться
"Are you sure you want to do this?","Вы действительно хотите это сделать?"
Cancel,Отменить
"Billing Agreement #%1","Платёжное соглашение #%1"
"General Information","Общая информация"
"Related Orders","Связанные заказы"
Order,Заказ
Purchased,Приобретено
"Bill-to Name","Счёт на имя"
"Ship-to Name","Доставка на имя"
"Order Total","Сумма заказа"
"Purchase Point","Точка покупки"
"Billing Agreement View","Обзор платёжного соглашения"
"View Transaction Details","Подробности транзакции"
"Reference Information","Reference Information"
"Transaction Information","Информация о транзакции"
"PayPal Fee Information","Информация о PayPal комиссии"
"PayPal Settlement Reports","PayPal Settlement Reports"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Fetch Updates"
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Помощь
Configure,Настроить
Close,закрыть
"Learn More","Узнать больше"
"View Demo","Просмотреть демо"
"See terms","See terms"
"You will be redirected to the PayPal website.","Вы будете перенаправлены на сайт PayPal."
"You will be redirected to the PayPal website when you place an order.","Вы будете перенаправлены на сайт PayPal после оформления заказа."
"Incl. Tax","Включая налог"
"Billing Information","Информация о плательщике"
"Shipping Information","Информация о доставке"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Would you like to sign a billing agreement to streamline further purchases with PayPal?"
"Invalid block type","Неверный тип блока"
"Please specify the correct billing agreement ID and try again.","Пожалуйста, укажите правильный ИД платёжного соглашения и попробуйте снова."
"You canceled the billing agreement.","Вы отменили платёжное соглашение."
"We can\'t cancel the billing agreement.","Мы не можем отменить платёжное соглашение."
"You deleted the billing agreement.","Вы удалили платёжное соглашение."
"We can\'t delete the billing agreement.","Мы не можем удалить платёжное соглашение."
Reports,Отчёты
Sales,Продажи
"View Transaction","Просмотреть транзакцию"
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration."
"We fetched %1 report rows from ""%2@%3.""","We fetched %1 report rows from ""%2@%3."""
"We can\'t fetch reports from ""%1@%2.""","We can\'t fetch reports from ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","Платёжное соглашение ""%1"" отменено."
"The billing agreement ""%1"" has been created.","Платёжное соглашение ""%1"" создано."
"We couldn\'t finish the billing agreement wizard.","Не удалось завершить помощник платёжного соглашения."
"We can\'t start the billing agreement wizard.","Мы не можем запустить помощник платёжного соглашения."
"Billing Agreement # %1","Платёжное соглашение # %1"
"We can\'t initialize Express Checkout.","We can\'t initialize Express Checkout."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout токен не существует."
"A wrong PayPal Express Checkout Token is specified.","Указан неправильный PayPal Express Checkout токен."
"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled."
"Express Checkout has been canceled.","Express Checkout has been canceled."
"Unable to cancel Express Checkout","Unable to cancel Express Checkout"
"Please agree to all the terms and conditions before placing the order.","Перед оформлением заказа Вы должны принять все Условия и Соглашения."
